GeoFips,GeoName,LineCode,Description,2021
01001,"Autauga, AL",1,Real GDP (thousands of chained 2012 dollars),1502153
01001,"Autauga, AL",2,Chain-type quantity indexes for real GDP,94.638
01001,"Autauga, AL",3,Current-dollar GDP (thousands of current dollars),1862747
01003,"Baldwin, AL",1,Real GDP (thousands of chained 2012 dollars),7830237
01003,"Baldwin, AL",2,Chain-type quantity indexes for real GDP,144.294
01003,"Baldwin, AL",3,Current-dollar GDP (thousands of current dollars),9891548
01005,"Barbour, AL",1,Real GDP (thousands of chained 2012 dollars),709459
01005,"Barbour, AL",2,Chain-type quantity indexes for real GDP,99.393
01005,"Barbour, AL",3,Current-dollar GDP (thousands of current dollars),860027
01007,"Bibb, AL",1,Real GDP (thousands of chained 2012 dollars),392249
01007,"Bibb, AL",2,Chain-type quantity indexes for real GDP,107.878
01007,"Bibb, AL",3,Current-dollar GDP (thousands of current dollars),511240
01009,"Blount, AL",1,Real GDP (thousands of chained 2012 dollars),997835
01009,"Blount, AL",2,Chain-type quantity indexes for real GDP,113.455
01009,"Blount, AL",3,Current-dollar GDP (thousands of current dollars),1211710
01011,"Bullock, AL",1,Real GDP (thousands of chained 2012 dollars),236820
01011,"Bullock, AL",2,Chain-type quantity indexes for real GDP,96.313
01011,"Bullock, AL",3,Current-dollar GDP (thousands of current dollars),289132
01013,"Butler, AL",1,Real GDP (thousands of chained 2012 dollars),652486
01013,"Butler, AL",2,Chain-type quantity indexes for real GDP,117.790
01013,"Butler, AL",3,Current-dollar GDP (thousands of current dollars),809234
01015,"Calhoun, AL",1,Real GDP (thousands of chained 2012 dollars),4245199
01015,"Calhoun, AL",2,Chain-type quantity indexes for real GDP,102.155
01015,"Calhoun, AL",3,Current-dollar GDP (thousands of current dollars),5108424
01017,"Chambers, AL",1,Real GDP (thousands of chained 2012 dollars),844188
01017,"Chambers, AL",2,Chain-type quantity indexes for real GDP,114.111
01017,"Chambers, AL",3,Current-dollar GDP (thousands of current dollars),1003863
01019,"Cherokee, AL",1,Real GDP (thousands of chained 2012 dollars),533432
01019,"Cherokee, AL",2,Chain-type quantity indexes for real GDP,108.486
01019,"Cherokee, AL",3,Current-dollar GDP (thousands of current dollars),647497
01021,"Chilton, AL",1,Real GDP (thousands of chained 2012 dollars),1001475
01021,"Chilton, AL",2,Chain-type quantity indexes for real GDP,120.088
01021,"Chilton, AL",3,Current-dollar GDP (thousands of current dollars),1277386
01023,"Choctaw, AL",1,Real GDP (thousands of chained 2012 dollars),501532
01023,"Choctaw, AL",2,Chain-type quantity indexes for real GDP,90.834
01023,"Choctaw, AL",3,Current-dollar GDP (thousands of current dollars),586394
01025,"Clarke, AL",1,Real GDP (thousands of chained 2012 dollars),761922
01025,"Clarke, AL",2,Chain-type quantity indexes for real GDP,98.282
01025,"Clarke, AL",3,Current-dollar GDP (thousands of current dollars),998805
01027,"Clay, AL",1,Real GDP (thousands of chained 2012 dollars),434129
01027,"Clay, AL",2,Chain-type quantity indexes for real GDP,154.711
01027,"Clay, AL",3,Current-dollar GDP (thousands of current dollars),509530
01029,"Cleburne, AL",1,Real GDP (thousands of chained 2012 dollars),298888
01029,"Cleburne, AL",2,Chain-type quantity indexes for real GDP,110.652
01029,"Cleburne, AL",3,Current-dollar GDP (thousands of current dollars),356069
01031,"Coffee, AL",1,Real GDP (thousands of chained 2012 dollars),1403123
01031,"Coffee, AL",2,Chain-type quantity indexes for real GDP,117.489
01031,"Coffee, AL",3,Current-dollar GDP (thousands of current dollars),1681588
01033,"Colbert, AL",1,Real GDP (thousands of chained 2012 dollars),2444622
01033,"Colbert, AL",2,Chain-type quantity indexes for real GDP,102.411
01033,"Colbert, AL",3,Current-dollar GDP (thousands of current dollars),2914003
01035,"Conecuh, AL",1,Real GDP (thousands of chained 2012 dollars),457634
01035,"Conecuh, AL",2,Chain-type quantity indexes for real GDP,91.482
01035,"Conecuh, AL",3,Current-dollar GDP (thousands of current dollars),456406
01037,"Coosa, AL",1,Real GDP (thousands of chained 2012 dollars),175564
01037,"Coosa, AL",2,Chain-type quantity indexes for real GDP,106.827
01037,"Coosa, AL",3,Current-dollar GDP (thousands of current dollars),215536
